tid,src,dst,amt,time,day_of_week,is_fraud
1,p1456,p2413,625.65,24,6,False
2,p4862,p3560,277.92,2,6,False
3,p903,p3794,562.01,19,4,False
4,p4107,p3942,588.92,22,6,False
5,p4863,p1601,548.09,21,3,False
6,p4151,p2099,430.11,12,5,False
7,p1145,p1641,533.38,18,7,False
8,p3568,p966,260.34,12,3,False
9,p3720,p4617,720.41,8,3,False
10,p2453,p1344,437.27,2,1,False
11,p4466,p3722,469.29,4,7,False
12,p4424,p59,499.95,8,2,False
13,p3037,p2953,516.53,11,3,False
14,p362,p3245,393.79,9,7,False
15,p939,p1410,151.19,14,2,False
16,p2843,p1805,401.91,22,3,False
17,p3397,p1938,502.23,8,1,False
18,p3938,p4438,449.21,15,2,False
19,p1662,p2101,191.03,10,2,False
20,p3013,p2189,380.53,20,4,False
21,p2302,p3780,438.24,7,3,False
22,p3646,p2094,314.53,2,2,False
23,p2936,p4569,875.45,21,7,False
24,p1779,p2345,444.39,6,6,False
25,p3273,p855,571.28,7,1,False
26,p2023,p2500,91.55,21,2,False
27,p4012,p3478,627.77,2,5,False
28,p2996,p4682,708.49,9,6,False
29,p3362,p870,778.54,14,4,False
30,p565,p948,668.09,1,5,False
31,p4193,p4297,679.76,10,2,False
32,p3399,p3566,490.18,24,7,False
33,p2576,p4252,271.64,16,1,False
34,p2503,p809,800.56,12,6,False
35,p1342,p3545,221.28,10,6,False
36,p1697,p305,555.86,17,2,False
37,p3607,p1932,640.39,24,4,False
38,p2258,p2620,764.33,9,6,False
39,p1212,p1415,514.75,13,3,False
40,p4454,p2207,747.26,21,3,False
41,p2576,p4252,272.0,19,1,False
42,p1432,p4855,412.63,19,6,False
43,p4631,p1702,620.43,12,4,False
44,p4201,p3387,656.37,11,6,False
45,p17,p1033,114.44,6,6,False
46,p248,p4684,249.12,6,6,False
47,p333,p2099,431.4,6,7,False
48,p1739,p714,499.04,8,4,False
49,p2096,p2691,642.63,8,2,False
50,p1971,p1614,456.53,13,2,False
51,p1368,p3156,202.72,7,5,False
52,p1931,p1737,675.68,10,1,False
53,p993,p3337,601.69,17,5,False
54,p3247,p2473,392.58,6,6,False
55,p1407,p2705,133.29,21,1,False
56,p3259,p1269,589.34,15,7,False
57,p4652,p3684,618.01,14,4,False
58,p3561,p3234,634.97,22,7,False
59,p432,p3473,316.84,19,1,False
60,p4386,p245,425.94,13,5,False
61,p2122,p2208,508.64,7,2,False
62,p17,p2511,408.11,4,6,False
63,p4967,p3117,490.4,14,6,False
64,p2522,p1300,299.2,5,7,False
65,p3955,p286,237.56,3,5,False
66,p3749,p63,771.37,24,6,False
67,p537,p3414,292.35,17,3,False
68,p1025,p2450,270.22,24,1,False
69,p4493,p3451,621.47,24,7,False
70,p194,p2557,791.74,7,5,False
71,p3883,p3136,476.72,20,2,False
72,p91,p3170,271.78,11,7,False
73,p3614,p4114,567.61,17,1,False
74,p4815,p3613,351.16,4,1,False
75,p4193,p4297,620.27,10,3,False
76,p186,p3017,751.53,17,2,False
77,p3314,p1080,719.59,7,1,False
78,p3996,p1386,791.75,17,6,False
79,p1133,p4976,793.65,20,4,False
80,p4819,p4105,687.93,21,1,False
81,p362,p2176,762.59,5,7,False
82,p4832,p1102,342.24,4,2,False
83,p3910,p778,122.91,17,5,False
84,p4907,p1671,563.95,16,5,False
85,p4860,p286,221.79,21,5,False
86,p3261,p4132,177.14,1,3,False
87,p4980,p1812,412.16,3,4,False
88,p2925,p3014,805.26,16,3,False
89,p1930,p1295,553.76,2,6,False
90,p3581,p617,196.53,19,6,False
91,p3149,p2819,520.01,24,6,False
92,p698,p4805,630.47,14,4,False
93,p184,p3644,317.23,9,3,False
94,p715,p2167,781.37,5,2,False
95,p1969,p2908,516.34,20,7,False
96,p3182,p3722,798.31,12,3,False
97,p2520,p85,152.1,3,6,False
98,p4805,p4580,690.21,8,5,False
99,p398,p1464,856.29,17,5,False
100,p2136,p4523,755.28,12,6,False
101,p235,p4655,569.32,16,2,False
102,p267,p2034,724.81,15,4,False
103,p1215,p2472,655.18,6,3,False
104,p2909,p2786,259.1,4,1,False
105,p471,p3364,34.24,10,4,False
106,p3792,p3911,725.51,9,4,False
107,p409,p3580,386.5,5,4,False
108,p1613,p760,312.79,1,5,False
109,p1167,p3223,129.96,23,1,False
110,p3869,p443,694.59,1,1,False
111,p4559,p4890,613.65,7,5,False
112,p3021,p186,716.57,4,1,False
113,p962,p4516,214.81,2,2,False
114,p711,p3652,645.15,12,4,False
115,p1566,p2389,843.61,13,6,False
116,p4926,p2776,763.02,1,6,False
117,p1569,p3095,174.5,18,5,False
118,p760,p4599,595.61,24,6,False
119,p1163,p3541,164.13,8,7,False
120,p3581,p4889,391.99,18,6,False
121,p3649,p338,428.08,23,6,False
122,p991,p2441,456.83,4,1,False
123,p1240,p46,447.74,18,3,False
124,p4265,p527,263.99,3,3,False
125,p2131,p1246,355.06,9,4,False
126,p4332,p627,872.08,24,1,False
127,p2594,p1242,737.7,23,7,False
128,p3101,p1232,835.45,2,2,False
129,p252,p3015,754.55,24,2,False
130,p3409,p2852,743.92,19,3,False
131,p2656,p1345,296.41,7,7,False
132,p2953,p4129,522.3,19,5,False
133,p2847,p1524,436.78,12,5,False
134,p132,p1973,415.19,19,4,False
135,p4694,p3356,400.51,15,4,False
136,p3179,p3204,387.39,18,7,False
137,p3544,p3154,405.2,23,2,False
138,p3271,p1618,836.36,2,5,False
139,p2452,p2566,354.13,19,4,False
140,p2009,p3937,771.12,4,1,False
141,p2446,p3196,330.44,17,6,False
142,p1026,p1452,573.92,23,5,False
143,p104,p169,373.85,7,2,False
144,p4655,p1749,740.8,6,3,False
145,p4359,p2004,249.48,4,2,False
146,p213,p1268,266.93,17,6,False
147,p524,p1263,470.0,6,5,False
148,p2469,p4718,312.91,4,6,False
149,p4968,p260,632.07,14,4,False
150,p3279,p701,728.39,6,3,False
151,p4479,p4141,596.66,11,2,False
152,p4167,p3914,629.65,11,3,False
153,p2730,p1856,560.56,24,6,False
154,p2641,p2170,271.6,19,2,False
155,p2641,p1984,307.11,2,3,False
156,p2051,p4119,559.07,21,3,False
157,p2275,p849,180.29,4,4,False
158,p874,p3281,645.77,18,6,False
159,p2697,p1323,546.86,18,1,False
160,p4286,p916,638.9,2,5,False
161,p3700,p1890,354.32,18,2,False
162,p3409,p2538,678.58,21,3,False
163,p1314,p90,468.01,3,1,False
164,p1619,p2756,405.25,22,3,False
165,p4127,p4032,421.4,13,6,False
166,p1144,p3359,553.68,24,4,False
167,p2144,p700,555.85,9,2,False
168,p4929,p4211,308.29,11,1,False
169,p4509,p108,648.3,2,4,False
170,p721,p3688,222.11,5,4,False
171,p617,p2383,652.54,20,3,False
172,p12,p3806,908.92,14,3,False
173,p2259,p3595,692.24,15,5,False
174,p1818,p1048,810.82,2,5,False
175,p15,p3255,474.58,22,3,False
176,p350,p3947,371.11,5,5,False
177,p626,p3077,221.23,21,3,False
178,p3358,p2325,206.23,8,4,False
179,p2563,p1778,646.53,24,5,False
180,p2260,p4208,208.45,3,7,False
181,p1055,p4498,771.58,13,6,False
182,p4695,p288,236.24,20,4,False
183,p463,p1225,629.58,9,6,False
184,p3490,p1369,610.93,13,2,False
185,p4104,p3205,419.66,20,6,False
186,p4262,p485,562.19,9,3,False
187,p2326,p64,663.57,2,3,False
188,p1809,p63,508.49,10,1,False
189,p107,p4959,386.44,19,2,False
190,p3296,p2152,175.74,9,1,False
191,p1502,p645,637.89,13,5,False
192,p882,p4903,951.37,24,4,False
193,p1304,p2147,547.05,19,4,False
194,p3337,p4423,209.51,17,5,False
195,p2243,p2510,797.17,24,1,False
196,p4526,p510,448.08,23,5,False
197,p4544,p4605,701.75,14,3,False
198,p4736,p3390,701.34,6,1,False
199,p1809,p63,521.98,10,1,False
200,p4885,p4190,498.01,16,7,False
201,p4921,p2690,275.62,19,2,False
202,p1098,p3638,462.41,23,1,False
203,p2282,p2694,723.56,1,3,False
204,p981,p2224,742.87,24,2,False
205,p257,p2789,510.5,15,6,False
206,p4896,p3254,225.9,21,5,False
207,p1165,p1515,421.65,24,3,False
208,p3729,p464,679.01,12,5,False
209,p5,p1890,797.24,8,1,False
210,p3523,p4169,800.35,14,3,False
211,p1228,p2379,71.76,6,2,False
212,p4979,p3806,901.67,12,2,False
213,p3069,p886,284.58,7,7,False
214,p1559,p3604,651.97,4,1,False
215,p3270,p3126,327.61,13,7,False
216,p4454,p2207,687.7,19,4,False
217,p1677,p1376,714.51,12,2,False
218,p4041,p2343,58.73,5,5,False
219,p3315,p2198,409.14,18,3,False
220,p1427,p1886,412.22,1,4,False
221,p3769,p1301,942.22,3,7,False
222,p1757,p1135,157.11,2,5,False
223,p446,p2546,317.56,8,5,False
224,p3070,p169,455.63,15,3,False
225,p3448,p1662,521.23,3,4,False
226,p3428,p3982,450.81,10,1,False
227,p4017,p2865,466.76,8,7,False
228,p4495,p763,484.72,24,3,False
229,p250,p3701,316.89,24,1,False
230,p1452,p639,287.31,9,3,False
231,p192,p544,912.47,23,3,False
232,p557,p2547,725.14,3,6,False
233,p2196,p4220,434.77,23,7,False
234,p3555,p3907,935.52,12,4,False
235,p513,p1596,873.05,8,3,False
236,p1464,p2779,522.94,6,2,False
237,p4818,p2885,261.06,22,7,False
238,p2460,p2078,683.71,9,7,False
239,p2543,p34,298.47,22,4,False
240,p239,p2952,651.06,5,6,False
241,p3629,p4945,667.21,18,6,False
242,p2512,p2534,246.67,21,1,False
243,p2049,p1420,702.83,24,1,False
244,p2967,p3458,593.63,12,2,False
245,p3668,p1718,117.42,18,2,False
246,p2112,p4516,63.58,15,2,False
247,p2134,p1423,417.36,22,3,False
248,p1110,p2094,275.3,13,2,False
249,p399,p4026,358.22,8,4,False
250,p2862,p2155,621.47,15,4,False
251,p1287,p1892,587.59,18,7,False
252,p2634,p94,194.76,6,7,False
253,p3422,p1720,224.39,15,4,False
254,p654,p4765,577.97,7,3,False
255,p4152,p701,508.81,14,5,False
256,p4815,p3613,340.94,5,1,False
257,p339,p2879,639.24,1,6,False
258,p1009,p260,672.97,11,5,False
259,p4252,p1168,584.44,9,1,False
260,p3552,p4877,747.58,1,2,False
261,p1182,p479,396.38,15,4,False
262,p399,p890,352.55,7,1,False
263,p1661,p2747,549.2,21,6,False
264,p1857,p3979,598.98,19,4,False
265,p555,p2353,743.19,18,7,False
266,p480,p3954,399.57,9,1,False
267,p1057,p1287,459.96,6,5,False
268,p3897,p940,691.7,23,6,False
